,comment
0,"REWIND INDONESIA 2020.
#RI2020
Share nobar/nonton/reaksi kalian di sosial media dengan hashtag #RI2020, 
kita ga sabar untuk lihat kalian akhirnya menyaksikan #RI2020!"
1,trendingg
2,Demi apapun ini keren bangetttr
3,NGERIIIII
4,Kerennnn
5,"Kalo dia yg mengang kek jaminan mutu gitu dah , panjang umur semua , biar anak cucu masih bisa ngerasain karya kalian 😍😍😍😍"
6,"Huaaa keren bgt!!!! Perasan jdi campur aduk, seneng, sedih, emosi, samuanya ada😭❤️❤️❤️"
7,Kangen buna hijab 😭
8,"2020 ditutup dengan ini! 
pecah gilaa"
9,"merinding anjir....
the real masterpeace 2020👍👍👍"
10,Mantaap ibaratkan om dedy corbuzier jadi ketua podcast😄😂😂😂😂
11,Goks parah #RI2020
12,Alp ba ta yg mendunia ngga ada 😂
13,yg diawal cewe siapa woy
14,Kereeeeeen👍👍👍👍
15,Ini tik tok rewind kayanya
16,"AAAAA MONANG, PECAHHHH!!!💥🔥😭💖❤️"
17,gila pecahhhh siii
18,Keren banget petjaaahh🔥🔥🔥
19,AAAAAAAAA KEREN BAT
20,Ada budi 🤩
21,Mrembes seketika 😭😭 GOOD JOB TUK SEMUA YANG TERLIBAT 👏👏👏👏👏👏👏👏👏
22,"Keren abis asli 👍👍
🎉🎉
Terima kasih atas kerja kerasnya"
23,"Wih mas ancaa, pertama kali nnton yutuppp liat malam minggu miko.."
24,Gokil ni budget produksi nya gede bgt nih
25,"DI AKHIR VIDEO MENDADAK SEDIH LIAT KA JO DAN ANDOVI KELUAR DARI PINTU, MEMBERIKAN TANDA BAHWA MEREKA PAMIT🥺"
26,SO COOL
27,"522KxDitonton
I see The Like Button: 562k Like😆"
28,agak berat ya ninggalin 2020
29,Keren bangett gila
30,RAFFI AHMAD DAN BAIM WONG KO ENGGA ADA YAAAAA
31,miawaug Gk Ada lagi ya?
32,DAAMMNNNN!!!
33,Keren
34,parah sih ini❤️❤️❤️
35,7:53 seketika langsung netes 🥲🥲😭
36,we need more hareudang x WAP lol
37,Kacau siiii. Kerenn bgtttt
38,"ANCUR KEREN PARAH, sediiinya berasa campur rasa bangga jyakhh. Berasa kurang lama bgt nonton ini tp yakin pasti ngeditnya susah bgt. Keren bgttttt!!!👏🏻👏🏻👏🏻👏🏻"
