,comment
0,"REWIND INDONESIA 2020.
#RI2020
Share nobar/nonton/reaksi kalian di sosial media dengan hashtag #RI2020, 
kita ga sabar untuk lihat kalian akhirnya menyaksikan #RI2020!"
1,GILAAA !! BRAVO AULION N CHANDRA! AND ALL TEAM!! HARUSNYA JADI YOUTUBE INI MAH KELAS REWIND GLOBAL!!
2,NANGIS BGT NONTONNYAAA BAGUS BGT 😭
3,"KACAU MERINDING GUA, KEREN BANGET GILAA !!🔥🔥"
4,Bolehlah boleh ini 👌
5,Ke sini cuma buat liat David di sini.
6,Terima kasih semuanya. love you all. - SkinnyIndonesian24 ( Andovi da Lopez & Jovial da Lopez)
7,"Thanks to ""SKINNY INDONESIAN 24"" for entertaining us with your work, and good bye.
We will always miss you on YouTube.
#RI2020"
8,"Im a bit crying at the moment , in which we have to survive in this difficult time , hopefully  the situation will get better in 2021 , we are tired of doing everything virtually😪😪"
9,"""2020 everything is changed"""
10,Love every minute of this video!! This is soo lit.....started with laughter and ended with sadness:'' You guys did a great job!!
11,LET'S GO TRENDING!!!!
12,Youtuber's reaction : EXIST
13,IM CRYINGGG THIS IS SO EMOTIONAAL I CANTTT
14,"The value, content quality is sooo 🔥🔥🔥"
15,The best Indonesian rewind ever ❤️
16,#RI2020 is on FIRE!
17,"""When somebody love me..."" Nangiss woy tolong:"
18,"not gonna lie but this is actually so cool, and the ending :((((("
19,2:23 anying bang ada bang Budi😂
20,11:44 old generation say goodbye to the new generation. damn i love that scene
21,11:10 THIS SCENE TOTALLY LEGEND🔥🔥
22,"Everytime i watching this, i still had a goosebumps and emotional too!!!"
23,"This is quality, pure art, perfection, prepossesing, serene yet keeps me on the edge of my seat. It’s 2020 everybody."
24,MASTERPIECE FROM INDONESIA
25,Thank you for making this the best rewind i ever watched
26,Legends never die 🔥🔥🔥
27,"petjaaah, keren bet anjirtt terharu mo nanges 😭 masterpiece"
28,08:04
29,"Youtube rewind 2020 : ""minggir woi,otw tranding no.1 nih."""
30,Persembahan terakhir untuk Rewind. Terima kasih semua. 🙏
31,FINNNALYY THE REALL YT REWIND
32,"6:14 - abis bikin speechless banget :"") mau nangis parah liatnya, kayak kangen bgt liat youtuber lama di satu frame kaya gitu :"")  ❤️❤️"
33,"It's so beautiful, I can't comment on anything, I'm crying 😭😭😭 thank you so much buat semua creator Indonesia ❤️🇲🇨"
34,"The saddest part of life is when the person who gave you the best memories becomes a memory 

Love you all"
35,Rewind is coming !!
36,TRENDING KAN WOIIII
37,This is insaneeeeeeeeee🔥🔥🔥🔥
38,7:53 merinding
39,"Mari trendingkan, yuk bisa yukk.."
40,Reza arap is back to youtube rewind🔥🔥🔥
41,The best YT rewind so far 🔥🔥🔥🔥
42,Rewind Indonesia 2020. #RI2020
43,speechles :’)
44,Masterpiece ! :')
45,"This is the best video i ever watch in 2020, thankyou very much <3"
46,"i think i'm just too tough to cry 

/yt rewind 20 exist

*no! my eyes just peeing!!"
47,11:31 😭😭
48,11:06 i see Tara & Gema 😂😂
49,"one of masterpiece in 2020 , great job🔥🔥"
50,"REWIND INDONESIA 2020
LEGGO!! #RI2020"
51,YANG PASTI LEBIH BAGUS JAUHHH SEKALI DARIPADA TIKTOD REWIND!!
52,"Buat You Tube Rewind 10's dong bro...
Dari 2010-2020"
53,Asli merinding parah!!!! Terharu banget!!!!😭😭😭😭❤️❤️❤️❤️❤️
54,"2016: aulion lepas masker
2020: aulion pasang masker"
55,"Komen setelah trending ❌
Komen sebelum tayang ✅

#RI2020"
56,The best🔥🔥
