,comment
0,"REWIND INDONESIA 2020.
#RI2020
Share nobar/nonton/reaksi kalian di sosial media dengan hashtag #RI2020, 
kita ga sabar untuk lihat kalian akhirnya menyaksikan #RI2020!"
1,"Terima kasih, karya nya keren bgt :("
2,Trending
3,udah nonton lebih dari sekalii dan tetep ketawa sambil nangis:(
4,Finallyyyy
5,keren bgt🔥🔥🔥
6,"WALAU SEBAGAI PENIKMAT YT, GW BANGGA ATAS SEMUA KERJA KERAS KALIAN GUYS AND IDE"" GILA KALIAN, BIG THANKS FOR CHANDRALIOW AND TEAM!!! PROUD OF YOU ALL 👏👏👏👏👏👏👏👏👏👏👏👏👏"
7,Mantap cukkkk
8,09.35 Chandra Liow x Agung Hapsah x Creamypandaxx. Emang udah paling the besttttt👍😎
9,KEREEEN TAPI AKU BELUM LIAT TAPI AKU SUKAAA
10,Nice
11,"Bangga banget sm hasil youtube rewind 2020. Super terharu, mewek diakhir video. Diantara youtube rewind yg dulu², aku paling suka video yg skrg. Editannya PRO banget"
12,Aulion pake masker ternyata mirip acil dalang pelo
13,Satu kata kEREN #RI2020
14,WHY AM I CRYING?
15,NANGIS BGT🥺
16,"YUK SEMANGAT!!!
JGN LUPA LIKE VIDIONYA DAN LIKE KOMENAN SATU SAMA LAIN. NONTON NYA PAKE 480P DAN JANGAN KOMEN PAKE EMOTICON YA GUYSS. "
17,KEREN ASLII.....  GILAA
18,Keren bat sumpah ye merinding nyee pas denger  lagu tanah air beta paraah 👍👍👍❤
19,"KARYA YG WAR BIASAH 🥺🥺🥺 
I ♥️ YTB REWIND INA 🇮🇩 2020"
20,"Yok bisa yok, di trendingkan"
21,KEREN👍👍👍
22,Pamit ter epic
23,Sumpah keren parah pecah banget 👍🔥
24,11:32 we will miss konten kreator yang kreatif kayak mereka 🖤
25,KEREN BANGET UDAH G NGERTI LAGI.
26,keren bgt ajim😭😭❤️❤️❤️❤️❤️
27,Trending
28,"Keren banget, alur ceritanya dapet banget. Merinding. Berkelas! Thank you for Chandra Liow and team."
29,jangan ada yg reupload ke tiktok dong
30,Kereennn  parahhhh aligg sih 🔥🔥🔥🇮🇩
31,#RI2020 Brando mana woe >:
32,Mas ancaaaa miss you on screen 😂
33,Semoga trending
34,"Sedihh pas mulai scene “covid” 
Semangat terus Indonesiaku 🇮🇩"
35,😭😭😭❤️❤️❤️
36,Goks parahh🔥🔥🔥
37,6:20 mksudnya apaa
38,MERINDIIIING!!!!!!!
39,bisa bisanya bikin gue nangis
40,Choky dan tretan muslim blokkk🤣🤣🤣 kalian dewa nya dsni 🤣
41,Nangisss
42,What a closing for 2020 :)) 😭😭😭
43,Wkwkwkw mantab pak Muh
44,OMGG KEREN BGTTTT💘💘💘💘💘
45,Asli merinding 😬 Terima Kasih 2020.Mari Sambut 2021 dengan Optimis .✊
46,Keren banget sumpah😁😁😁
47,Video terbaik selama 2020 🔥
48,"Kerennn , terimakasihhhh kerja keras kalian 🥰🥰"
49,"Rewind terkeren asli senyum, tawa, sedih, haru semua jadi satu, kalian keren 🙌🏽🙌🏽🙌🏽"
50,4:45 Tolongg overdosis sarkas 🤣
51,APAANSI KOK KEREN BGT YAALLAH PROUD😭😭🖤🖤🖤🖤❤️❤️❤️❤️
52,NGAKAK SALPOK PAK MUH  😍😍😍
53,Keren banget 👏👏 bravo buat para YouTuber yang lain 👌karyanya luwar biasa
54,3:30 kok ada How to become<3
55,LOVVV YOUU UNTUK SEMUAAA!!!
56,God damn....
57,"Apresiasi sebesar-besarnya Chandra, Aulion and team and everyone involved. Gokiiiilllll!!!!!"
58,Ahh gatau lagii kereen bangeett :)
59,Keren yaa bisa bikin nangis
60,"Emote nya kurang"" in woe 🤣 biar trending"
61,GACORRR BGTT ASLIII
62,Coki muslim best part🔥
63,Kok ada money Heist?
64,I'M SOBBING OMG KEREN PWOLLL!!!!
65,Gilaaaaakkkkk kereeeennnn paraaaahh ngga ngerti lagi 👏🏻👏🏻👏🏻👏🏻
66,"Merinding, mo nangis.. Keren bangeeeetttttt :"")"
67,Happy bgt buna masi berhijab disini alhamdulillah 😭
68,Kereeennn 🔥🔥🔥
69,better than last year 😄😄
