,comment
0,"REWIND INDONESIA 2020.
#RI2020
Share nobar/nonton/reaksi kalian di sosial media dengan hashtag #RI2020, 
kita ga sabar untuk lihat kalian akhirnya menyaksikan #RI2020!"
1,"REWIND INDONESIA 2020
LEGGO!! #RI2020"
2,keren parah
3,"don't know why, but i'm cryinggg:"")"
4,9:20 epic moment🔥
5,Ahhh damn... this is PERFECT!!! I got emotional in that final scene when everyone watching all videos in past... that make me crying T_T
6,Persembahan terakhir untuk Rewind. Terima kasih semua. 🙏
7,"11:32 """"enjoy the last present from us on youtube"" this is what you are trying to say in this scene, isn't skinnyindonesian24 ??"
8,KEREEEEEN BANGEEEEETTTTT!!!!! AAAKKHHHH MO NANGISSS 😭😭😭 MERINDING BANGEEET YA AMPUUUUN!! TERIMAKASIH UNTUK PARA YOUTUBER INDONESIA SUDAH MEMBUAT YOUTUBE REWIND 2020 YANG SANGAAAT LUAAAR BIASAAAA!! KAMI BANGGA PUNYA KALIAAAN SEMUAAAA!!!! IIII LLLOOOOVVVEEEE YYYOOOUUU!!!!!!!!! 🙏🙏🙏🙏❤️❤️❤️❤️❤️
9,"14:21 detik ter worth di 2020 :) thanks for the rewind, its really, really good."
10,"Wowwww...., This is the best YouTube rewind i verry-veery I am Salute with this YouTube rewind 2020 because there are so many beautiful memories here"
11,Rewind is coming !!
12,"awesome, ty for this masterpiece 🥺🥺"
13,Best Indonesian YouTube rewind 🔥🔥
14,THISS SOOO FCKINGGG AMAAZINGGGG OMG I WAS IN TEARS
15,"Keren, yakali ga trending🔥"
16,"This is the best video i ever watch in 2020, thankyou very much <3"
17,4:14 DPRRRRR
18,The best rewind ever🔥
19,"aaaaa keren bgt😭
Tiap part bikin merinding !!
Terima kasih buat semua youtuber indonesia yg udh bikin hari2 gue semangat di 2020 ini, jujur kalian semua semangat gue !! Pokonya cuma bisa bilang makasih banget, makasih banyak💖"
20,#RI2020 is on FIRE!
21,11:20 MAS ANCAAA ❤🤣
22,GILAAA !! BRAVO AULION N CHANDRA! AND ALL TEAM!! HARUSNYA JADI YOUTUBE INI MAH KELAS REWIND GLOBAL!!
23,"""Yuk trendingkan"""
24,"Don't cry because it's over. Smile because it happened. 

Thank you so much, SKINNY INDONESIAN 24 ❤️"
25,HANDS DOWN FOR THE BEST INDONESIAN REWIND EVER MADE:( THIS ONE IS COOL AF BUT HEARTBREAKING TOO😭😭
26,Wow this is the best YouTube rewind in Indonesian and i appreciation to all of you in this video. GBU all ❤️
27,MERINDING PARAAAHHH! MANTAPPU JIWA KEREN BANGETT
28,11:18 MAS ANCAA... MORGANISA... BANG RIAN... MIKO... KANGEN😭😭
29,This is the best video i ever watch in 2020!!!🔥🔥🔥🔥
30,"4:13 yang matiin mic jas merah, yg dimatiin mic nya jas biru. Detail ya."
31,OMG YOU MAKE ME CRYING 😭😭😭
32,"DAMN, THIS IS GOOOD AF
Besides lathi drop, the decade rewind gives me goosebumps. And the tribute for skinnyindonesia 24, god damn, im crying for that part. 
Thank you for making the best rewind i ever watch."
33,"9:39


GILAAAA😭😭😭🔥🔥🔥🔥"
34,2:12 BUDI01 GIMANG
35,4:17 sindiran Halus
36,"OMG !!!! KEREN PARAH ASLI, INI YOUTUBE REWIND TERKEREN SELAMA INI YANG GUA TONTON 😭 🔥🔥🔥😍😍😍"
37,4:27 cokmus selalu epic
38,"Damn !!🔥🔥Why This video so emotianal.I almost Cried After watch this video. This is the best Rewind i ever watch.
Dan Terima Kasih 2020 Memberikan Kita banyak kenangan.Thank You 2020"
39,"Dan ini project inisiatiff gila, anjir sih salutttttt 👏"
40,man this rewind kinda heartbreaking :((
41,4:14 Pua* Reference
42,9:36 agung masih idup ternyata gaes 😂😂😂
43,"4:25
Cokmus in action

5:48"
44,LETSGOOOOOO!!!!
45,PROUD OF 😭❤️
46,"""TRENDINGKAN"""
47,"Komen setelah trending ❌
Komen sebelum tayang ✅

#RI2020"
48,Kerennn bgtttt parahhhh🔥🔥🔥🔥
49,11:52 i dunno why but mas anca make me so emotional😭😭
50,TERBAIK DARI YANG TERBAIK !!!!!! LOVE YOU SKINNY 🥰🥰🥰🥰
51,"kereeennnnn!!!! merinding, nangis, terimakasih sdh menemani kami di 2020"
52,"Terima kasih banyaak buat support dari temen-temen! Semoga video ini bikin semangat utk temen2 kreator bikin konten yang seru, bermanfaat & bisa menginspirasi satu sama lain. Terima kasiih 🙏🏻😭"
53,LETSGOOO😭❤️
54,"the best Indonesian YouTube rewind I have ever seen "")"
55,Merinding! Proud of u all <3
56,Omg I'm crying 😭
57,LET'S GO TRENDING!!!!
58,"HI !! I'M FROM MALAYSIA
THAT WAS AWESOME N AMAIZINGGG
GOOD JOB"
59,"WAJIB TRENDING!!! KEREN PARAH INI MAH!!! 
Kuy gaes TRENDINGKAN, Share juga ke Temen² kalian!"
60,GACORRR😭🔥🔥🔥🔥🔥🔥🔥
61,Respect! Betapa susah payahnya dimasa pendemi masih sempet mewujudkan YouTube rewind indonesia 2020. Good luck YouTubers Indonesia!
62,Let's Go trending 1
63,"video yang seru dan mengandung air mata :"""
64,"Thank you for those who have taken part on this project. You, all of you, have given us such a very good video that we need. This video gives me strength and inspiration to make more videos. Once again, thank you for making 2020 better :)"
65,yang unlike ada masalah apasii:(
66,KEREM PARAH SPEECHLESS 😭😭😭😭😭😭
67,Ye Aye! :D
68,4:37 bobrok HAAHHAHHAAA
69,"Goosebumps.
Good Job Guys 👏🏻❤️"
70,PAK MUH CUTE BGTTTT AAHHH😭😭❣
71,"keren bgttt!!!
Bikin merindingg parahh.
Semogaa kedepannya pandemi virus ini cpt berakhir,Aamiin."
72,"Rewind earth nanti taun 2069 , direkturnya mars."
73,"Kemasan rewind yang keren bangettt😭 ga sanggup lg nonton saking bagusnya.. nangis banget ga berenti😭 banyak banget di laluin di 2020.. semoga 2021 lebih baik amin♥️ semangat untuk kita semua,  thanks for the video. I love it♥️♥️♥️♥️♥️"
74,GOD DAMN!:(
75,Raffi Ahmad & Baim Wong left the chat.
76,"Sedih juga ya, dan engga kerasa kita lewatin 2020 ini di masa pandemi. Semoga tahun 2021 pandemi berakhir. Trendingkan!"
77,Terima kasih semuanya. love you all. - SkinnyIndonesian24 ( Andovi da Lopez & Jovial da Lopez)
78,"Let's go!!!! Klaim ""Aku disini sebelum trending"" mu disini!!!"
79,11:31 Skinyindonesia24 pamiit :(
80,Pecaaaahhhhh 🔥 terima kasih buat kalian semua
81,"Trending"" gass 🔥🔥"
82,STANDING OVATIONNNNNN!!!!!!
83,"Trending"" gass 🔥🔥"
84,Pecah abis! finally ending yang baik untuk menutup 2020.
85,"KEREN, TRENDING AYO!!"
86,The best lah youtube rewind tahun in
87,im waitin..
88,"10:30
Oiya lupa aku kalo anak itu lagi nonton dri awal😄"
89,"Keren bgt, THANK YOU 💛✨"
90,SUMPAAHH KEREN BGTTT🔥🔥🔥🔥🔥
91,KERENNNNNN REWIND SKINNY INDONESIAN 24 ...
92,Damnnn 🔥🔥🔥🔥
93,"Nonton sekali?
Mana cukup 🔥🔥🔥"
94,Kerennn binggo!!
95,THAT WAS AMAZING.....GOOD WORKKK YALLL
96,video ini akan dipenuhi oleh komentar YouTuber ceklis
97,keren banget 😭❤️
98,sobbing... coolest ever!!
99,Keren bgt bund😭❤️
100,INI APAANSII???
101,Waktu bagian masak bener ga sih chef arnold berubah jadi bang chandra
102,"paling merinding mantap!!! proud for indonesian youtubers!!! 
loveyou all:)"
103,Teruslah berkarya demi negeri tercinta ❤️❤️ Terimakasih YouTube rewind 2020❤️❤️
104,This is Hi Quality production! EPICC
105,1:47 Lose by NIKI woww! ( buat yang gatau NIKI juga orang Indonesia🇮🇩 yang sukses go internasional loh! )
106,not me crying watch this rewind 🙄
107,"if you can't come as yb,so come as wg ❤"
108,"nangis bangeeett , bangga bangeet, kereenn bangeet semoga youtube indonesia tetap selalu berkarya 🥳🥳🥰"
109,"Paling membuat saya terharu adalah scene nya Briptu Norman. Membuat saya bertanya2, KENAPA DIA KELUAR DARI BRIMOB? 😂😂😂"
110,Terharu bgtt🥺🥺🔥🔥🔥
111,"nangis banget nontonnya, ga nyangka udh sampe penghujung tahun:')"
112,"Menurut ""gw"" Bnyak adengan gw skip cuma karna hal yang gw ga suka doang contohnya kpop tpi bagus ko"
113,Kerennn🔥🔥
114,"And that’s how you do it! #RI2020 pastinya membekas di hati banyak orang dan diri sendiri, merinding sampe nangis :( thank u so much for the amazing opportunity, I got to be a part of something wonderful! Maju terus Indonesia ❤️"
115,7:50 asli merinding denger nyanyian lagu nasional + menolong sesama rakyat tanpa pandang suku ras dan agama sebagai symbol persatuan indonesia
116,Naisss🔥
117,"Sangat bangga, Indonesia memiliki Konten kreator seperti ini😊"
118,Thanks for MASTERPIECE 🙏
119,Rewind Indonesia 2020. #RI2020
120,Ceyuuuu beudh
121,11:19 saya sebagai pembantu yang bertanggungjawab
122,TRENDINGKAN GUYS!!!  jangan pake emot
123,WOY KEREN BANGET PARAHHHHHHH!!!! PECAH BGT GUE NANGISSSSSS!!!!!😭😭
124,"0:41 anak kecilnya kena king crimson
3:24 MEIDO IN HEBUN"
125,"6:04 pantes han yoo ra balik ke Indonesia, shooting ini ternyata"
126,Its 9 pm and I'm crying... :') thanks
127,One of the best rewind of all time!
128,GOKILLLL! Asli ga di-skip sama sekali sampe detik terakhir. Good jobbb!🔥
129,"The best memang , Trendingkan Yok semangat!!!"
130,Kerennn parahhh Si😭🔫 mo nangis
131,"Saya benci acting Chandra Liow, but this is really amazing🙏 lots of respect 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
132,"Parah sih klo ga  trending!
🔥🔥🔥"
133,"Aaa gila gua nangiss kangen zaman-zaman lagu² ini😭
KEREENN BANGATT !!!!🙏🇮🇩❤️"
134,"NANGIIIIS, BAGUS BGTTTTTTTT😭😭😭😭❤️❤️❤️❤️"
135,"Kalo projectnya Chandra Liow nggak usah diragukan lagi, Keren parah cuy🔥🔥🔥"
136,4:13 sindiran nya bossss:v
137,Kereennnn banget!!!! Merinding haru nontonnyaaaaa..
138,THIS IS ON ANOTHER LEVEL😭👏🏼👏🏼👏🏼👏🏼👏🏼 THX GUE BANJIR SESENGGUGUKAN😭💜
139,11:35 adalah momen paling the best
140,YANG BIKIN REWIND 2018 MANA MIH HHHHH 😂
141,"REWIND KALI INI BIKIN GW NANGIS 😭😭😭😭😭😭😭 ga ngerti lagi udah bingung gw masih nyesek karna semua nyampur 😭😭😭 keren iya, haru iya, menghibur iya, bingung gw bingung mau jelasinnya gimanaa!!!! Good job team #RI2020 ini sih jujur terbaikkkkks"
142,Merinding cuy liatnya🥺🥺🥺
143,08:30 apip inayma 👌
144,Epiiic!!!🔥🔥🔥
145,REWIND INDONESIA 2020 PECAH!🔥🔥
146,Keren paham demi apapun anjirrrr🔥🔥
147,"gemes bgt ada si acil:"")"
148,"Gak kuattt liat nyaa, ini keren bangettt!!!"
