No,Komentar,P1,P2,P3,Hasil,,
37,Kacau siiii. Kerenn bgtttt,1,1,1,Positif,,
38,"ANCUR KEREN PARAH, sediiinya berasa campur rasa bangga jyakhh. Berasa kurang lama bgt nonton ini tp yakin pasti ngeditnya susah bgt. Keren bgttttt!!!ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»",1,1,1,Positif,,
39,KEREN BANGETðŸ˜­ demi apapun ku merinding nontonnyaðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½,1,1,1,Positif,,
40,YOUTOBER OLD EMANG GG BEDA SAMA YOUTOBER GIVE AWAY!,1,1,1,Positif,,
41,Where is son of zeus :(,0,0,0,Netral,,
42,serius nanya ini anak cewe yg di awal siapa?,0,1,0,Netral,,
43,Nitip komen sebelum 1jt views,0,0,0,Netral,,
44,KERENNNN AMPUN AMMPUNNN ðŸ˜­ðŸ˜­ GA KERASA UDAH REWIND20 PERASAAN KEMAREN BARU 2016ðŸ˜­,1,1,1,Positif,,
45,Mana om mobi n ridwan hanif?,0,0,0,Netral,,
46,keren bangetâ™¡â™¡â™¡,1,1,1,Positif,,
47,kurang bobon doang si ini,0,1,0,Netral,,
48,Ericko lim gaada  ya?,0,0,0,Netral,,
49,Keren banget T.T,1,1,1,Positif,,
50,merindingg ini mah bagus bangetttt wajib trending pokoknyaaaaa,1,1,1,Positif,,
51,scoringnya juara !!!,1,1,1,Positif,,
52,"erokontolim kok ga ada ya?

serius nanya.",-1,-1,-1,Negatif,,
53,"U
N
1
T",1,1,1,Positif,,
54,#RI2020 #Trendingkan#Trending#Indogointernasional#Rewind2020,1,1,1,Positif,,
55,"Mantap parah, sampe nyentuh hati dong. Btw, thankyou skinny24 see u when i see u. Sukses terus youtube indo..",1,1,1,Positif,,
56,"SUMPAH, INI KEREN BGT PARAHH!!!!!!!
PROUD BGT JD ANAK INDONESIA!!<3",1,1,1,Positif,,
57,SALUT,1,1,1,Positif,,
58,Mantappppp,1,1,1,Positif,,
59,KERENNN BGT KONSEPPNYAAAAA GADA OBATTT SUMPAHHH!!!,1,1,1,Positif,,
60,Gila ini keren sumpah ðŸ”¥ðŸ”¥ Nonton ini campur sedih dan happy ngeliatnya.  Semoga kita sehat2 selalu dan semoga virus ini  hilang dari bumi ini. Amin ðŸ˜Š,1,1,1,Positif,,
61,#wesurvive2020,1,1,1,Positif,,
62,IcissðŸ˜ðŸ˜ðŸ˜,0,0,0,Netral,,
63,#RI2020 #Trendingkan#Trending#Indogointernasional#Rewind2020,1,1,1,Positif,,
64,Chandra becanda...,0,0,0,Netral,,
65,Bagus banget,1,1,1,Positif,,
66,#RI2020 TRENDINGKANNNN. GILAK GEMETER KARNA TAKJUB GW. DITENGAH PANDEMI BISA BIKIN KARYA SEBAGUS INIðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥KEREN BAT GILAK,1,1,1,Positif,,
67,Keren abizzz,1,1,1,Positif,,
68,KerennðŸ˜­ â¤ï¸â¤ï¸â¤ï¸,1,1,1,Positif,,
69,Njiirr.. nonton ke 2 kali pas saya colok itu earphone ke hp..langsung...duaarr!! Kwalitas sound nya donk.. bikin makin keren abis! Berasa bgt kangen suasana bioskopnya! Duh ga ngerti lagi..secinta itu gw sama Chandra Liow n Aulion! Plis pliisss..jgn berhenti berkarya!!,1,1,1,Positif,,
70,KerennðŸ˜­ â¤ï¸â¤ï¸â¤ï¸,1,1,1,Positif,,
71,"Yg kagen YouTube 2015-2016
ðŸ˜­ðŸ˜­ðŸ˜­
Kangen kevin sama edhozell",1,1,1,Positif,,
72,PENGEN RASANYA WAKTU DIPUTAR KEMBALI ðŸ‘,1,1,1,Positif,,
73,Asli keren banget,1,1,1,Positif,,
74,Keren parah hiks,1,1,1,Positif,,
75,Kereen bangett siihh ðŸ”¥ #nyalakanindonesia,1,1,1,Positif,,
76,Good,1,1,1,Positif,,
77,YUTUBE REWIND TERBAIKKKKKK,1,1,1,Positif,,
78,Terlalu emang buat ini terlalu keren,1,1,1,Positif,,
79,Youtube rewind terepic bagi guaðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
80,Trending trendingkannnnn,1,1,1,Positif,,
81,"#RI2020 : How you like that?
Me : YESSSS ðŸ”¥",1,1,1,Positif,,
82,Demi apa kerennnnnnnnðŸ˜­â¤ðŸ‡®ðŸ‡©,1,1,1,Positif,,
83,#RI2020 #Trendingkan#Trending#Indogointernasional#Rewind2020,1,1,1,Positif,,
84,Saking kerennya gua merinding borr,1,1,1,Positif,,
85,GoksðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
86,"Njir lah.... keren asli, bagian favorit gua pas lagu black pink dan kepergian skiny",1,1,,Positif,,
87,Asliii! Ini keren banget banget bangeeeet deh...karya anak bangsa :),1,1,1,Positif,,
88,"Di awal dibuat ketawa ketiwi sama paman
Di akhir dibuat sedih sampe nangis keinget jaman YouTube belum dijajah sama artis.

Well done boys.",1,1,1,Positif,,
89,Kerennnnnn,1,1,1,Positif,,
90,"merinding asliiii
keren parahhhhhðŸ˜­",1,1,1,Positif,,
91,KEREN BANGET WOYYYðŸ˜­â¤ï¸â¤ï¸â¤ï¸,1,1,1,Positif,,
92,Merinding,1,1,1,Positif,,
93,Percuma kalau msh ada buzzeRp,-1,-1,-1,Negatif,,
94,#RI2020 ON FIRE,1,1,1,Positif,,
95,Keren parahhhh ðŸ’¥ðŸ’¥ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
96,Trending..,1,1,1,Positif,,
97,GOKIL PARAHH UNTUNG BELUM TELAT BANGETðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
98,Anjay mabar,0,0,0,Netral,,
99,Knp aku bukan boneka bukan si kekey ? Tp lagu2 lain si penyanyi asli yg tampil ?? Nggak nongol si rans entertaiment sm bapau ??,-1,-1,-1,Negatif,,
100,Bulu kuduk berdiri bangsatðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
101,Gokz emang chandra.. Berkarya tanpa harus drama.. Kualitas diatas kuantitas.. Salute..,1,1,1,Positif,,
102,Thank u..  Best gift in 2020...,1,1,1,Positif,,
103,DAEBAAAAK!!!!ðŸ’œðŸ’œðŸ’œ,1,1,1,Positif,,
104,mantep banget sumpah ! ! T . T,1,1,1,Positif,,
105,"G G 


MAINYA HEBAT",1,1,1,Positif,,
106,#RI2020 #Trendingkan#Trending#Indogointernasional#Rewind2020,1,1,1,Positif,,
107,Baru ini liat youtube bisa merinding ðŸ˜­ sekaligus sedih 2020 ternyata isinya begituan,1,1,1,Positif,,
108,Merinding keren!!!,1,1,1,Positif,,
109,Speechless; youtuber Indonesia membanggakan banget!! #RI2020,1,1,1,Positif,,
110,GILA KEREN BANGET,1,1,1,Positif,,
111,the ending made me cry ...,1,1,1,Positif,,
112,Gila Keren Banget Ayo Trending Kan Ke 1 Ayooo,1,1,1,Positif,,
113,"Diamana ini you tuber gaming favorit saya Kak Regi MiawAug,Windah Basudara,dan ACI GameSpot ðŸ˜”",0,-1,-1,Negatif,,
114,#nyalakanindonesia,1,1,1,Positif,,
115,KERENNNN BGTT,1,1,1,Positif,,
116,TRENDINGKAN !,1,1,1,Positif,,
117,Eh ada morganisa malam minggu mikoðŸ˜­,0,1,1,Positif,,
118,"Thanks for everything u guys did to this platform, u guys are flippin awesome.",1,1,1,Positif,,
119,akhirnya setelah tahun kemarin off,1,1,1,Positif,,
120,"Wih siapa yang kesini gara gara liat ig nya Fitra Eri. Tapi kurang 3 orang yaitu om mobi, Ridwan Hanif Rahmadi dan Arief Muhammad hayo. Harus nya ada video nya Jimny challenge. Tapi gak papa lah kalo gak ada.",0,1,1,Positif,,
121,"Nonton ini the real ""mau nangis, rasanya kek mau meninggal..!!""",1,1,1,Positif,,
122,Merinding,1,1,1,Positif,,
123,TRENDINGG YUU BISAAAAAA!!!,1,1,1,Positif,,
124,"Preciate a lot, good job for you all guys ðŸ‘",1,1,1,Positif,,
125,Merinding parahhhh,1,1,1,Positif,,
126,I'm crying!!! ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­â¤ðŸ¤ŸðŸ¥º,1,1,1,Positif,,
127,Scene terakhir dabest parahðŸ”¥,1,1,1,Positif,,
128,4.18 itu mantep bngt woyðŸ˜­ðŸ”«,1,1,1,Positif,,
129,Sumfaaaaah sedih,0,1,1,Positif,,
130,#RI2020 god bye skinnyindonesian24 the best YOUTUBE REWIND INDO!!,1,1,1,Positif,,
131,mantap,1,1,1,Positif,,
132,"Keren, kerja bagus untuk semuanya! Saya sampai dibuat menangis, terlalu penuh dengan memori YouTube Indonesia yang dulu-dulu. Panjang umur perjuangan!â¤ #NyalakanIndonesia",1,1,1,Positif,,
133,"keren banget, ga bisa berhenti nonton!! sedih juga tapi ðŸ˜­ðŸ’™ðŸ’™",1,1,1,Positif,,
134,Gokil gokil gokil keren bangetttt,1,1,1,Positif,,
135,"Merinding nonton nya ,",1,1,1,Positif,,
136,Merinding liat nya sampe nangis ðŸ¥²,1,1,1,Positif,,
137,Ngakak pas bagian pak Muh anjir wkwkwkwkwkwkw,1,1,1,Positif,,
138,Men... I cry...,1,1,1,Positif,,
139,"Banyak bawangnya haha
Keren sih huhuuu",1,1,1,Positif,,
140,Gue baru sadar ada dosan sama pak han wkwkkwk,0,1,1,Positif,,
141,"KEREN PARAH EUY, GADA OBAT ðŸ”¥",1,1,1,Positif,,
142,KerenðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
143,4:13 Sindirannya parah ðŸ˜‚ðŸ¤˜,0,1,1,Positif,,
144,Anjayyy jadiiâœ¨ðŸ‡®ðŸ‡©,0,1,1,Positif,,
145,KERENNðŸ˜­ðŸ˜­,1,1,1,Positif,,
146,Hanin nyanyi langsung merinding gilaaaaaaaaa suka,1,1,1,Positif,,
147,Bang budiiii Guysss,0,1,1,Positif,,
148,"Rewind kali ini bikin perasaan aku jadi campur aduk, kadang ketawa, kadang nangis, apalagi pas bagian kak andovi ama kak jovi keluar :'",1,1,1,Positif,,
149,The Best Youtube REWIND EVER,1,1,1,Positif,,
150,Mantap,1,1,1,Positif,,
151,#RI2020 #Trendingkan#Trending#Indogointernasional#Rewind2020,1,1,1,Positif,,
152,ADA ATTA AUTO SKIP 10 DETIK KEMUDIAN.,-1,-1,-1,Negatif,,
153,"Belum perna komen apa""di konten yutupe siapapun. Kali ini anjirrr harus aku akui ini keren bgt sumpahhhhhhhhhh. Kilas balik semua hal yang terjadi di 2020. Dimna banyak di antaran kita cuman bisa ngejalanin aktifitas kurang lebih 3bulan saja di tahun ini. Dan banyak bgt pembelajaran yg di dapat. Terima kasih buat semua elemen yang terlibat dalam hal kemanusiaan. Kalian luar biasa banget. Hebat hebat hebat!!!",1,1,1,Positif,,
154,Ajiibbb !!!,1,1,1,Positif,,
155,Wahh asli sih keren banget,1,1,1,Positif,,
156,Karena ini keren banget yuk trending yuk!!,1,1,1,Positif,,
157,keren aslina,1,1,1,Positif,,
158,keren bangett:))),1,1,1,Positif,,
159,kecee badaiðŸ˜Ž keren bangetttðŸ˜­ðŸ˜Ž makasii 2020ðŸ¤§,1,1,1,Positif,,
160,ANJAYYYY KERENN BANGET ANJIR VIBES TIKTOKNYA NGENA BANGETTT ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1,1,1,Positif,,
161,Mantap,1,1,1,Positif,,
162,"Woahh woah, speechless:))))",1,1,1,Positif,,
163,TERKERENNNNðŸ˜­ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,1,1,1,Positif,,
164,Keren karya anak bangsa #RI2020 ðŸ”¥,1,1,1,Positif,,
165,GILA! Keren bgt,1,1,1,Positif,,
166,Iklan nyaa gangguuuu,-1,-1,-1,Negatif,,
167,KEREEENNNNN!!! AKU BANTU GA SKIP IKLANNYA BUAT NANTI BIKIN YOUTUBE REWIND 2021 BIAR TAMBAH KERENNN LAGEEEEEEEE!!!,1,1,1,Positif,,
168,Karena ini keren banget yuk trending yuk!!,1,1,1,Positif,,
169,ytrewind 2018 sampah,-1,-1,-1,Negatif,,
170,Best Youtube Rewind on Earth,1,1,1,Positif,,
171,Ba Radit ga ikut ya?,0,0,0,Netral,,
172,MERINDING ASLI HALPH,1,1,1,Positif,,
173,Nangis sih keren banget,1,1,1,Positif,,
174,Kurang MiawAug,0,0,0,Netral,,
175,Semoga di yt rewind beberapa tahun  berikutnya ada aku ðŸ¥ºðŸ¥º,0,1,0,Netral,,
176,"Kita lihat di YouTube, tapi Kita rindu YouTube â¤ï¸",1,1,1,Positif,,
177,YTR ter epic !! #RI2020,1,1,1,Positif,,
178,Merindinggg,1,1,1,Positif,,1
179,MERINDING GAK BERENTI BERENTI !!!!,1,1,1,Positif,,
180,LET'S GO TRENDING KANNNNNNNN GESSS,1,1,1,Positif,,
181,"my amazing 14 minutes, gua nangis anjr pas bagian akhir wkwk",1,1,1,Positif,,
182,"bang radit diwakilin mas anca, gokil",1,1,1,Positif,,
183,"merinding asliðŸ”¥ðŸ”¥
keren banget!!!",1,1,1,Positif,,
184,ASLI KEREN PARAH! INI MAH KUDU TRENDING ðŸ˜­,1,1,1,Positif,,
185,Anak kecil yang pertama itu youtuber juga kah?,0,0,0,Netral,,
186,KERENNNNNðŸ˜ðŸ˜ðŸ˜,1,1,1,Positif,,
187,"Keren parah. Ga cuma rewind Indonesia 2020. Tapiiii sisipan rewind Indonesia decade nya kerreen parah.
Terimakasih kepada kalian yang memberikan ini semua, 2020 menjadi sedikit lebih indah dengan #RI2020
Sehat terus untuk kita semua.
Semoga 2021 lebih baik dari tahun sebelumnya.",1,1,1,Positif,,
188,Merinding bangettðŸ˜­ðŸ˜­,1,1,1,Positif,,
189,Keren bangettttt,1,1,1,Positif,,
190,Kereeeeeen,1,1,1,Positif,,
191,Keren asli,1,1,1,Positif,,
192,Keren abiiiiieeeesdss,1,1,1,Positif,,
193,Pak muhhhhh,0,1,0,Netral,,
194,KERENNN ABISSSSSS,1,1,1,Positif,,
195,Karena ini keren banget yuk trending yuk!!,1,1,1,Positif,,
196,"KEREN BANGET PARAHHH! So proud with u guys, makasih udah bikin karya sebagus ini, jaya selalu Indonesian creators",1,1,1,Positif,,
197,PS5 nya kecepetan brok,0,-1,-1,Negatif,,
198,"Penutup akhir tahun yg sangat meREWINDkan :,)",1,1,1,Positif,,
199,"epiiiiiic para youtuber berkumpul dan sedih dan seram.indonesia maju melawan corona,bersatu kita teguh bercerai kita
siapa cita citanya nonton berkali kali
yang like
ðŸ‘‡ðŸ‘‡ðŸ’–ðŸ’–",1,1,1,Positif,,
200,"Seger banget mata gua ngeliatnya, lightningnyaa set up lightningnya dll LIIIITTTT",1,1,1,Positif,,
201,Sad ending ðŸ˜­,1,1,1,Positif,,
202,Keren bangettttttt,1,1,1,Positif,,
203,Keyeen bangetttt,1,1,1,Positif,,
204,Sumpah keren,1,1,1,Positif,,
205,"Keren merinding wahhhhhh ga bisa berkata kata lagi,, terima kasih",1,1,1,Positif,,
206,Keren banget sampai merinding gue nnton nya,1,1,1,Positif,,
207,"Ini youtube rewind indonesia terbaik, terbagus, terniat, terkeren, ter-dabes lah pokoknya, sangat menakjubkan ðŸ”¥ðŸ”¥ðŸ”¥ semangat terus buat kalian para youtuber atau konten kreator indonesia. KALIAN SEMUA HEBATTTT!!!",1,1,1,Positif,,
208,MERINDINH....GILA KEREN BGT ASLI,1,1,1,Positif,,
209,MANTAP JIWAA,1,1,1,Positif,,
210,aaaa keren banget >< selama video diputar aku merinding loh :>,1,1,1,Positif,,
211,Kerennnnn abissðŸ”¥ðŸ”¥ðŸ‘,1,1,1,Positif,,
212,"Kerenn nih, salut",1,1,1,Positif,,
213,Mau dong tiap akhir tahun selalu ada video rewind sperti ini hehe,1,1,1,Positif,,
214,"keren banget, ayo dilike jangan lupa guys!",1,1,1,Positif,,
215,AYOOO TRENDINGGGG!!,1,1,1,Positif,,
216,MANCA MANAAAAA,0,-1,-1,Negatif,,
217,Kerenâœ¨,1,1,1,Positif,,
218,Deny caknan aja masuk masak felix irwan nggak?,-1,-1,-1,Negatif,,
219,PAK MUH IDOLAKUUUUUUUUUUUUU,1,1,1,Positif,,
220,keceee,1,1,1,Positif,,
221,kerenn bgt aligggggg,1,1,1,Positif,,
222,Keren banget sampe nangis ðŸ˜­ðŸ˜­ðŸ‘,1,1,1,Positif,,
223,bagus banget anjrot,1,1,1,Positif,,
224,Karena ini keren banget yuk trending yuk!!,1,1,1,Positif,,
225,GOKIL MERINDINGGG BANGETTT!!,1,1,1,Positif,,
226,Goks banget si ini sumpehh,1,1,1,Positif,,
227,GOKILLL WOII,1,1,1,Positif,,
228,"INI SEDIH BANGET, TAPI HAPPY GMN TUH",1,1,1,Positif,,
229,"sumpah pak, ini cen jancuk banget ðŸ˜­ðŸ‘Œ",1,1,1,Positif,,1
230,suka banget!! mo nangis rasanya ðŸ˜­,1,1,1,Positif,,
231,"09.00 sumpah asli musiknya keren parah,transisi nyo smooth",1,1,1,Positif,,
232,musiknya ga tahannn,1,1,1,Positif,,1
233,Merinding gw denger lathiðŸ¥º,1,1,1,Positif,,
234,"Feel dari video ini nyampe ke kita, bang. Scene terakhir ðŸ’”",1,1,1,Positif,,
235,Bikin bareng' kak atta sama kak Aurel dong bareng,0,1,0,Netral,,
236,i got goosebumps alr,1,0,1,Positif,,
237,"GAK MUNGKIN GAK NANGIS NNTN INI. ENTAH KRN HARU, SENENG, SEDIH. GILA.",1,1,1,Positif,,
238,Awesome anjim!,1,1,1,Positif,,
239,GOKILL!!,1,1,1,Positif,,
240,ko gue nangid T_T,1,1,1,Positif,,
241,HARUS TRENDING,1,1,1,Positif,,
242,"Bahkan detail kecill doang gue ngerti, woiii ini kerenn bangettttttt emang nggak pernahh mengecewakannn sihhh saluttttttttt. Positif thingking aja mungkin yg dislike impostor",1,1,1,Positif,,
243,the quality tho,1,1,1,Positif,,1
244,AAAAAAA KEREN BNGTTT:(,1,1,1,Positif,,
245,"KERENNN, VALIDDDD NO DEBAT",1,1,1,Positif,,
246,kerennnn parahhhhh <3,1,1,1,Positif,,
247,"TRENDING SATU BULAN GAK NIII 
#TRENDING",1,1,1,Positif,,
248,Karena ini keren banget yuk trending yuk!!,1,1,1,Positif,,
249,"terharuuuu, nangis bgt bagus bgt ihðŸ˜­ðŸ˜­ðŸ˜­",1,1,1,Positif,,
250,Mantap,1,1,1,Positif,,
251,Tolong Carikan dimana kekeyi,0,0,0,Netral,,
252,Terharus...,1,1,1,Positif,,
253,Like terus dan banyak pembelajaran dari semua ini .. beautiful.,1,1,1,Positif,,
254,Gak bisa ngomong apa-apa! Penutup tahun yg gokil ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
255,"keren banget! merinding, nangis, bener bener masterpiece. terimakasih untuk kalian semua yang sudah mendedikasikan diri untuk membuat video ini :""",1,1,1,Positif,,
256,"NICEEE, SO COOL, BTW odading mang oleh ada apa kagak? :v",1,1,1,Positif,,
257,MERINDING COKK KEREN SANGADDD!,1,1,1,Positif,,
258,Ada wajah FRISLLY PAS KBP dong.,0,1,1,Positif,,
259,EH ADA PAK MUH ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜,1,1,1,Positif,,
260,KEREN BANGET GILA WOEEE,1,1,1,Positif,,
261,"Gua pas scene terakhir yg ""when somebody love me"" jujur merinding seneng dan rada sedih,karena welll....,sebagian dari mereka sudah pensiun dan menjelang pensi ato gk youtuberÂ² lama yg,emang ngebuat Vidio dulu tuh just for fun,terutama buat bang Tara Ama gema,sumpah mereka itu keren dah,setiap main game,selalu pasti ngebuat gua ketawaðŸ˜€ðŸ˜‚,tapi well,semua punya batas,dan gua juga seneng youtuber Indo makin banyak yg berkembang,kek bangpen,dll,kerenÂ² dah mereka,dan semoga para penerus bisa lahh,berkarya lebih bagus dari pada mereka,Soo,thank you,karena sudah menghibur kami para netizenðŸ˜€â¤ï¸",1,1,1,Positif,,
262,MERINDING MALEM-MALEM!,1,1,1,Positif,,
263,Keren Abis ðŸ˜­ ðŸ”¥ MenyalaðŸ”¥ðŸ”¥,1,1,1,Positif,,
264,YouTube rewind dari tahun ke tahun gak pernah ngecewain,1,1,1,Positif,,
265,Dalgona mana?,0,0,0,Netral,,
266,"Merinding, proud you guys proud you youtubers indonesia, semoga tahun 2021 akan jadi masa untuk para youtubers untuk berkarya dan menghibur, life long the king chandra liaw",1,1,1,Positif,,
267,"sedih,tapi keren banget parah",1,1,1,Positif,,1
268,Karena ini keren banget yuk trending yuk!!,1,1,1,Positif,,
269,"Pecah si.. Keren banget.. Merinding, haru, ayo Indonesia kita bisa.. Semangat untuk masa depan yang lebih baik.. Kuatkan dunia",1,1,1,Positif,,
270,Epick parahðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,
271,"Tiba tiba nangiss, terharu",1,1,1,Positif,,
272,Sangat berwarna ya bund,1,1,1,Positif,,
273,Jujur keren banget:(,1,1,1,Positif,,
274,aku sedang mencari baim wong,0,0,0,Netral,,
275,BENERAN INI VIDEO KEREN BANGET,1,1,1,Positif,,
276,keren banget woiiiiiiiiii,1,1,1,Positif,,
277,"Semoga di tahun berikut nya corona dahh hilang :""",1,1,1,Positif,,
278,bim lu dimana #pickypicks,0,0,0,Netral,,
279,ðŸ˜­terharu,1,1,1,Positif,,
280,Gak akan ada yang bahas penampakan muka kak faiz apa?ðŸ§,0,0,0,Netral,,
281,"Bajingan sekali orang orang yang membuat ini, kenapa bisa keren kali :(",1,1,1,Positif,,
282,What a closing for 2020 :'),1,1,1,Positif,,
283,Gila gila gila epic!!!!,1,1,1,Positif,,
284,KARYA SEKEREN SEBAGUS SEEPIC MASIH ADA YANG DISLIKE? Wth,1,1,1,Positif,,
285,Damn son! Siapa yang naruh bawang disini? Keren bet asli gila! ðŸ‘ðŸ‘,1,1,1,Positif,,
286,"merinding nontonnya, keren parah sumpah",1,1,1,Positif,,
287,Mood pak muh ðŸ˜­,1,1,1,Positif,,
288,ditonton berunglangkali masih ga nyangka sebagus ini,1,1,1,Positif,,
289,Karena ini keren banget yuk trending yuk!!,1,1,1,Positif,,
290,keren kali ajg,1,1,1,Positif,,
291,Ketika tangis dan tawa menjadi satu,1,1,1,Positif,,
292,"THANKS BUAT PARA TENAGA KERJA MEDIS YG UDH MEMPERTARUHKAN NYAWA KALIAN UNTUK NEGRI INI,SEMOGA DENGAN JASA KALIAN NEGRI INI MENJADI LEBIH BAIK AAMIIN",0,0,0,Netral,,
293,Keren parah,1,1,1,Positif,,
294,This is YouTube rewind Indonesia paling bagus sihh gila bagus bagetttt harus trending sihh dan negara lain harus liat,1,1,1,Positif,,
295,Kurang Baim Wong sama channel hobby makanðŸ˜­,0,0,0,Netral,,
296,Big Thanks! â¤ï¸,1,1,1,Positif,,
297,"Awalnya mau bikin 10 paragraf komen tentang betapa kerennya Video ini, tapi pada akhirnya cuman Bisa bilang Ong im Mindblown..m",1,1,1,Positif,,
298,Nangis!!! Sekeren iniðŸ˜­â¤ï¸â¤ï¸â¤ï¸,1,1,1,Positif,,
299,sumpah tibaÂ² ada rewind kgk tau ada info nya sumpahðŸ¤£muncul di branda 2 jam lalu autoo cusssss,1,1,1,Positif,,
300,"Seneng liatnya, i wish i could be part of them in the future",1,1,1,Positif,,
301,Sudah 2x nonton dan masih merinding + menitihkan air mataðŸ¥º good job ðŸ”¥ðŸ”¥ðŸ”¥,1,1,1,Positif,,1
302,Gokillll,1,1,1,Positif,,1
303,"Ahh gokil keren abis :""D",1,1,1,Positif,,
304,"The best,sampe merinding",1,1,1,Positif,,
305,Kerennn #RI2020,1,1,1,Positif,,
306,Yoi,0,1,1,Positif,,
307,"KEREN BANGET ASLIIIII. AKU BANGGA, INDONESIA PUNYA KALIAN. TERIMA KASIH BANYAK :)",1,1,1,Positif,,
308,"Terima kasih ibu sudah memperbolehkan ku untuk nonton rewind indonesia 2020 ini keren

~windah ""jend bocil"" basudara",1,1,1,Positif,,
309,sumpahhh pokonya keren bgtttt,1,1,1,Positif,,
310,Ngga ada obeng,0,0,0,Netral,,
